인허가등록번호,등록일자,공연장명칭,공연장소재지(지번),전화번호,객석수,상태구분,영업상태,폐업일자,휴업시작일자,휴업종료일자
23000-1997-000012,19971023,도원극장,서울특별시 은평구 녹번동  79번지 2호  ,816-0346,,1,영업중,,,
23000-1997-000013,19971119,성찬경,서울특별시 은평구 응암동  670번지 5호  ,302-6717,,1,영업중,,,
23000-1997-000014,19971230,(주)할리비젼엔터테인먼트,서울특별시 은평구 불광동  443번지 29호  ,384-9149,,1,영업중,,,
23000-1998-000001,19980117,극단좋은친구들,서울특별시 은평구 응암동  197번지 78호 2 신동아아.-904,352-3153,,1,영업중,,,
23000-1998-000002,19980206,쌍용사물놀이,서울특별시 은평구 불광동  291번지 134호  ,384-3247,,1,영업중,,,
23000-1998-000003,19980224,연극세상컴퍼니,서울특별시 은평구 응암동  218번지 6호  ,354-6813,,1,영업중,,,
23000-1998-000004,19980430,송림무용단,서울특별시 은평구 대조동  43번지 8호 2층 ,357-9815,,1,영업중,,,
23000-1998-000005,19980603,세진엔터(주),서울특별시 은평구 대조동  15번지 130호  -201,990-8214,,1,영업중,,,
23000-1998-000006,19980612,조정현,서울특별시 은평구 불광동  13번지 29호  ,355-0693,,1,영업중,,,
23000-1998-000007,19980703,Bad boys,서울특별시 은평구 녹번동  98번지 45호  ,357-5235,,1,영업중,,,
23000-1998-000008,19980805,에뚜디아기타아앙상블,서울특별시 은평구 대조동  226번지 3호  ,389-5445,,1,영업중,,,
23000-1998-000009,19980903,젊은소리'청'쳄버오케스트라,서울특별시 은평구 역촌동  55번지 55호 3층 ,383-2845,,1,영업중,,,
23000-1998-000010,19980925,국악,서울특별시 은평구 응암동  588번지 8호  ,373-5001,,1,영업중,,,
23000-1998-000011,19980928,순수음악,서울특별시 은평구 갈현동  518번지 39호  ,359-4872,,1,영업중,,,
23000-1998-000012,19981019,COEL communication유기선,서울특별시 은평구 신사동  24번지 17호  ,375-2882,,1,영업중,,,
23000-1998-000013,19981212,피터팬,서울특별시 은평구 진관동  175번지 251호  ,383-1084,,3,폐업,19991122,,
23000-1998-000014,19981217,스튜디오502,서울특별시 은평구 갈현동  522번지 73호  ,3144-9650,,1,영업중,,,
23000-1998-000015,19981229,폴리미디어하비비,서울특별시 은평구 불광동  292번지 126호  ,352-6938,,1,영업중,,,
23000-1998-000016,19981230,미키비디오,서울특별시 은평구 대조동  225번지 2호  ,389-1116,,3,폐업,19981230,,
23000-1998-000017,19981230,비디오프라자,서울특별시 은평구 역촌동  37번지 40호  ,382-1005,,3,폐업,19991122,,
23000-1998-000018,19981230,비디오프라자,서울특별시 은평구 역촌동  37번지 40호  ,382-1005,,3,폐업,19991122,,
23000-1999-000001,19990114,미스터소울,,353-7485,,1,영업중,,,
23000-1999-000002,19990203,맥,서울특별시 은평구 구산동  199번지 2호  ,356-3328,,1,영업중,,,
23000-1999-000003,19990222,손재현무용단,,2260-3420,,1,영업중,,,
23000-1999-000004,19990322,한복시네마극장,서울특별시 은평구 응암동  427번지 113호  ,385-8301,,1,영업중,,,
23000-1999-000005,19990511,이동국(인형극),서울특별시 은평구 수색동  336번지 5호  ,376-4596,,1,영업중,,,
23000-2002-000001,20020126,도원극장,서울특별시 은평구 녹번동  79번지 2호  ,355-3775,,1,영업중,,,
23000-2009-000001,20090105,은평문화예술회관 공연장,서울특별시 은평구 녹번동  85번지 4호  ,02-351-3736,701,1,영업중,,,
23000-2016-000001,20160525,괜찮은홀 불광점,서울특별시 은평구 대조동  240번지  NC백화점 8층,02-350-7942,160,3,폐업,20190425,,
23000-2016-000002,20161226,원더 스테이지,서울특별시 은평구 진관동  63번지  ,69162111,100,3,폐업,20200531,,
23000-2009-000001,20090309,The stage(더스테이지),서울특별시 서대문구 창천동  18번지 29호  버티고빌딩 지하 2 3층,744-4334,252,3,폐업,20170707,,
23000-2009-000002,20091214,ECC 삼성홀,서울특별시 서대문구 대현동  11번지 1호  이화여자대학교 ECC내 지하4층,1644-2962,708,1,영업중,,,
23000-2010-000001,20100913,가야씨어터,서울특별시 서대문구 충정로3가  58번지 1호  구세군빌딩 123층,6364-4888,582,3,폐업,,,
23000-2011-000001,20110902,충정로 난타극장,서울특별시 서대문구 충정로3가  58번지 1호  구세군빌딩 1 2 3층,739-8288,582,3,폐업,,,
23000-2011-000002,20111227,서대문문화체육회관,서울특별시 서대문구 홍은동  산 26번지 155호  ,02-360-8560,589,1,영업중,,,
23000-2012-000001,20120126,퀸라이브홀,서울특별시 서대문구 대현동  104번지 1호  지하,313-7777,100,1,영업중,,,
23000-2012-000002,20120622,무빙온(Moving On),서울특별시 서대문구 창천동  20번지 24호  ,,202,3,폐업,20180129,,
23000-2015-000001,20151215,금호아트홀 연세,서울특별시 서대문구 신촌동  134번지  ,02-2123-4514,390,1,영업중,,,
23000-2016-000001,20160121,신촌아트홀,서울특별시 서대문구 창천동  33번지 20호  ,,22,3,폐업,20160725,,
23000-2017-000001,20170620,신촌아트센터,서울특별시 서대문구 창천동  33번지 20호  ,,22,3,폐업,20200221,,
23000-2017-000002,20170621,공연 공간더하기,서울특별시 서대문구 창천동  33번지 27호  ,,32,3,폐업,20200221,,
23000-2017-000003,20170727,프리버드 라이브홀,서울특별시 서대문구 창천동  472번지 1호  ,02-333-2701,50,3,폐업,20191021,,
23000-2018-000001,20180226,더 페인터즈 히어로 정동길 전용관,서울특별시 서대문구 충정로3가  476번지  구세군빌딩,02-766-7848,554,1,영업중,,,
23000-2018-000002,20180717,연희예술극장,서울특별시 서대문구 연희동  193번지 10호  ,,100,1,영업중,,,
23000-2018-000003,20180913,몽향 라이브 홀,서울특별시 서대문구 창천동  62번지 11호  ,,100,1,영업중,,,
23000-2018-000004,20181128,신촌문화발전소,서울특별시 서대문구 창천동  4번지 113호  ,02-330-1114,80,1,영업중,,,
23000-2018-000005,20181221,리움홀,서울특별시 서대문구 대신동  85번지  하늬솔빌딩,02-362-4480,76,1,영업중,,,
23000-1964-000001,19640423,영화나라,,715-4551,,3,폐업,20030523,,
23000-1991-000001,19911005,정도진흥기업(주)신촌그랜드시네마,서울특별시 마포구 노고산동  57번지 1호  ,320-2511,,3,폐업,20070315,,
23000-1991-000002,19911031,현대비디오소극장,서울특별시 마포구 노고산동  49번지 20호  -지층,338-4181,,3,폐업,19991216,,
23000-1996-000001,19960627,신촌그랜드시네마,,320-2511,,3,폐업,20070315,,
23000-1996-000002,19960627,신촌그랜드시네마,,320-2511,,3,폐업,20070315,,
23000-1997-000001,19970531,영화나라,,715-4551,,3,폐업,20030523,,
23000-2001-000001,20010607,신촌그랜드시네마,,320-2511,,3,폐업,20070315,,
23000-2001-000002,20010608,신촌그랜드시네마,,320-2511,,3,폐업,20070315,,
23000-2001-000003,20010629,신촌그랜드시네마,,320-2511,,3,폐업,20070315,,
23000-2001-000004,20010629,신촌그랜드시네마,서울특별시 마포구 노고산동  57번지 1호  ,320-2511,,3,폐업,20070315,,
23000-2002-000001,20020205,(주)다솜멀티미디어,서울특별시 마포구 동교동  200번지 30호  ,572-3696,,3,폐업,20081201,,
23000-2002-000002,20020205,(주)다솜멀티미디어,서울특별시 마포구 동교동  200번지 30호  ,572-3696,,3,폐업,20081201,,
23000-2002-000003,20020207,LA오락실,서울특별시 마포구 용강동  26번지 13호  ,702-7470,,3,폐업,20020207,,
23000-2002-000004,20021230,마포아트센터 아트홀맥,서울특별시 마포구 대흥동  30번지 3호  ,02-3274-8609,789,1,영업중,,,
23000-2002-000005,20021230,포스트극장,서울특별시 마포구 창전동  5번지 92호  B1 1 2층,02-337-5961,200,1,영업중,,,
23000-2002-000006,20021230,쌈지스페이스 미디어씨어터'바람',서울특별시 마포구 창전동  5번지 129호  쌈지빌딩5층,02-422-8211,150,3,폐업,20110630,,
23000-2004-000001,20041217,퓨전스타,서울특별시 마포구 서교동  378번지 7호  야외,,,3,폐업,20060427,,
23000-2006-000001,20060509,에스제이비보이극장,서울특별시 마포구 서교동  338번지 8호  삼진제약빌딩 지하1층,02-323-1957,256,1,영업중,,,
23000-2007-000001,20070906,상상마당 라이브홀,서울특별시 마포구 서교동  367번지 5호  상상마당빌딩 지하1층2층,02-2014-2022,120,1,영업중,,,
23000-2009-000001,20090611,씨제이아지트(CJ azit),서울특별시 마포구 신정동  145번지 9호  CJ아지트,02-3272-2616,140,1,영업중,,,
23000-2009-000002,20091127,극단미추,서울특별시 마포구 성산동  515번지  월드컵공원내,747-5161,2292,3,폐업,20100106,,
23000-2009-000003,20091220,소통홀,서울특별시 마포구 노고산동  33번지 22호  지하1층,02-718-3487,200,3,폐업,,,
23000-2010-000001,20100103,마포아트센터 플레이맥,서울특별시 마포구 대흥동  30번지 3호  ,02-3274-8609,201,1,영업중,,,
23000-2010-000002,20101126,극단 미추(마당놀이전),서울특별시 마포구 성산동  515번지  월드컵경기장 북측광장,747-5161,2292,3,폐업,20110116,,
23000-2011-000001,20110428,소극장 산울림,서울특별시 마포구 서교동  327번지 9호  지하1층,02-334-5915,76,1,영업중,,,
23000-2011-000002,20110512,정태호소극장,서울특별시 마포구 서교동  358번지 116호  지하1층,02-324-9090,100,1,영업중,,,
23000-2011-000003,20110523,상설무대 우리소리,서울특별시 마포구 서교동  448번지 23호  지하1층,02-326-2820,98,3,폐업,20120508,,
23000-2011-000004,20111214,얘기 아트 시어터,서울특별시 마포구 노고산동  12번지 74호  지하1층,02-2138-2995,100,1,영업중,,,
23000-2011-000005,20111228,청년문화공간JU동교동 다리소극장,서울특별시 마포구 동교동  158번지 2호  ,02-338-7831,200,1,영업중,,,
23000-2012-000001,20120126,롤링홀,서울특별시 마포구 서교동  402번지 22호  지하1층,02-325-6071,80,1,영업중,,,
23000-2012-000002,20120229,프리즘,서울특별시 마포구 서교동  395번지 152호  지하1층,070-8150-2979,100,3,폐업,20140416,,
23000-2012-000003,20120524,홍대난타극장,서울특별시 마포구 서교동  357번지 4호  지하 23층,02-739-8288,370,1,영업중,,,
23000-2012-000004,20120610,Junyfore 디딤홀,서울특별시 마포구 서교동  360번지 14호  ,3144-3225,100,3,폐업,20140702,,
23000-2012-000005,20120809,하나투어 브이홀,서울특별시 마포구 서교동  356번지 1호  서교호텔 별관 지하3층,02-338-0958,252,1,영업중,,,
23000-2012-000006,20121112,성미산마을극장,서울특별시 마포구 성산동  249번지 10호  지하1/2층,02-322-0345,98,3,폐업,20160218,,
23000-2012-000007,20121128,임혁필 소극장,서울특별시 마포구 합정동  393번지 18호  수성빌딩 지하1층,02-596-5518,92,1,영업중,,,
23000-2012-000008,20121213,신한카드 FAN(판) 스퀘어 라이브홀,서울특별시 마포구 서교동  490번지  메세나폴리스 2층,02-6357-0001,424,1,영업중,,,
23000-2013-000001,20130215,아트홀 베짱이,서울특별시 마포구 상수동  313번지 3호  지하1층,02-322-4241,250,1,영업중,,,
23000-2013-000002,20130410,볼륨일레븐,서울특별시 마포구 노고산동  31번지 39호  ,711-0015,80,3,폐업,20150113,,
23000-2013-000003,20130504,LIG아트홀,서울특별시 마포구 합정동  471번지  지하2층,02-331-0093,190,3,폐업,20171220,,
23000-2013-000004,20130605,인디팍(INDI PARK),서울특별시 마포구 서교동  372번지 5호  지하1층,02-719-9182,220,C,,,,
23000-2013-000005,20130826,신한카드 FAN(판) 스퀘어 드림홀,서울특별시 마포구 서교동  490번지  메세나폴리스 2층,02-6357-0001,296,1,영업중,,,
23000-2013-000006,20130827,김대범소극장,서울특별시 마포구 서교동  338번지 39호  지하1층,02-324-1421,99,1,영업중,,,
23000-2013-000007,20131022,얼라이브홀,서울특별시 마포구 서교동  401번지 6호  지하1층,02-796-3207,111,1,영업중,,,
23000-2013-000008,20131206,NB 콘서트홀,서울특별시 마포구 서교동  361번지 10호  지하2층,,50,3,폐업,20140425,,
23000-2013-000009,20131216,아르떼홀,서울특별시 마포구 합정동  379번지 10호  지하1층,02-2128-3321,195,3,폐업,20191218,,
23000-2014-000001,20140121,제일라아트홀,서울특별시 마포구 상암동  30번지 2호  지하1층,02-309-3355,250,1,영업중,,,
23000-2014-000002,20140806,벨로주,서울특별시 마포구 서교동  372번지 6호  서교동스튜디오 지하1층,02-323-7798,62,1,영업중,,,
23000-2014-000003,20140829,무브홀,서울특별시 마포구 서교동  368번지 22호  서문빌딩 지하1층,02-371-9066,164,3,폐업,20200429,,
23000-2014-000004,20141021,퍼즐 인형 극장,서울특별시 마포구 합정동  360번지 1호  지하1층,070-8237-6082,30,3,폐업,20161129,,
23000-2015-000001,20150316,REDBIG SPACE,서울특별시 마포구 서교동  372번지 9호  지하1층,02-323-8544,88,1,영업중,,,
23000-2015-000002,20150701,윤형빈 소극장,서울특별시 마포구 서교동  364번지 31호  석전빌딩 지하1층,02-6383-1003,161,1,영업중,,,
23000-2015-000003,20151021,웨스트브릿지 라이브홀,서울특별시 마포구 서교동  338번지 10호  지하3층,02-325-9660,150,1,영업중,,,
23000-2015-000004,20151209,더 스텀프,서울특별시 마포구 서교동  358번지 121호  철록헌,02-336-0229,86,1,영업중,,,
23000-2016-000001,20161013,정태호 소극장 PLAY,서울특별시 마포구 서교동  360번지 19호  지하1층,02-780-9767,121,3,폐업,20180402,,
23000-2017-000001,20170518,클럽 샤프,서울특별시 마포구 망원동  384번지 23호  지하1층,,51,1,영업중,,,
23000-2017-000002,20171205,문화비축기지 T2 공연장,서울특별시 마포구 성산동  661번지  ,02-376-8418,300,1,영업중,,,
23000-2018-000001,20180615,JDBSQUARE,서울특별시 마포구 서교동  395번지 15호  제우피스,02-323-6967,115,1,영업중,,,
23000-2019-000001,20190307,문화공간 너나들이,서울특별시 마포구 공덕동  31번지 1호  YD레지던스,02-716-5533,50,1,영업중,,,
23000-2019-000002,20190312,구름아래소극장,서울특별시 마포구 서교동  337번지 11호  구름닮은 빌딩,02-3280-8800,200,1,영업중,,,
23000-2020-000001,20200131,메리홀,서울특별시 마포구 신수동  1번지 1호  서강대학교,02-705-8743,424,1,영업중,,,
23000-2002-000001,20021230,양천구다목적회관,서울특별시 양천구 신정동  322번지 11호  ,02-2650-3541,644,3,폐업,20040331,,
23000-2002-000002,20021230,양천문화회관,서울특별시 양천구 신정동  322번지  ,02-2620-4404,684,1,영업중,,,
23000-2003-000001,20030117,목동청소년수련관,서울특별시 양천구 목동  918번지  ,2642-1318,337,1,영업중,,,
23000-2006-000001,20060720,엔젤씨어터,서울특별시 양천구 목동  914번지  ,02-596-8838,497,3,폐업,20151201,,
23000-2012-000001,20120406,브로드홀,서울특별시 양천구 목동  923번지 5호  ,3219-5532,375,3,폐업,20150920,,
23000-2013-000001,20130108,드라폼(Draform),서울특별시 양천구 신정동  917번지 21호  ,1600-7393,72,3,폐업,20151130,,
23000-2014-000001,20140826,KT체임버홀,서울특별시 양천구 목동  924번지  KT정보전산센터 1층,730-0246/3414-2063,419,1,영업중,,,
23000-2017-000001,20170105,코바코홀(Kobaco Hall),서울특별시 양천구 목동  923번지 5호  23층,3219-5763,290,1,영업중,,,
23000-2019-000001,20190722,로운아트홀,서울특별시 양천구 목동  923번지 6호  예술인회관,02-2061-6677,712,1,영업중,,,
23000-2019-000002,20190722,아뜨리움홀,서울특별시 양천구 목동  923번지 6호  예술인회관,02-2061-6677,200,1,영업중,,,
23000-2003-000001,20030102,강서구민회관,서울특별시 강서구 내발산동  산 19번지 1호  ,3664-6046,754,1,영업중,,,
23000-2016-000001,20160519,괜찮은 홀 강서점,서울특별시 강서구 등촌동  689번지  NC 강서점,02-2667-9700,120,C,,,,
23000-1990-000001,19900914,태양비디오소극장,서울특별시 구로구 가리봉동  135번지 6호  ,866-1706,,1,영업중,,,
23000-1994-000001,19940514,가리봉비디오,서울특별시 구로구 가리봉동  131번지 19호  ,857-6249,,1,영업중,,,
23000-1995-000001,19951102,대경비디오소극장,서울특별시 구로구 가리봉동  25번지 23호  ,868-2789,,3,폐업,20001130,,
23000-1997-000001,19970724,애경,서울특별시 구로구 구로동  573번지 0호  ,2275-3048,,3,폐업,20010131,,
23000-1999-000001,19990930,애경시네마,서울특별시 구로구 구로동  573번지 0호  ,818-1477,,3,폐업,20010131,,
23000-2002-000001,20020117,CGV구로10제6관,서울특별시 구로구 구로동  573번지  ,,,1,영업중,,,
23000-2002-000002,20020117,CGV구로10제7관,서울특별시 구로구 구로동  573번지  ,6094-9595,,1,영업중,,,
23000-2002-000003,20020117,CGV구로10제8관,서울특별시 구로구 구로동  573번지  ,6094-9595,,1,영업중,,,
23000-2002-000004,20020117,CGV구로10제9관,서울특별시 구로구 구로동  573번지  ,6094-9595,,1,영업중,,,
23000-2002-000005,20020117,CGV구로10제10관,서울특별시 구로구 구로동  573번지  ,6094-9595,,1,영업중,,,
23000-2002-000006,20021212,구로구민회관,서울특별시 구로구 구로동  102번지 0호  ,860-2592,545,1,영업중,,,
23000-2002-000007,20020117,CGV구로10제1관,서울특별시 구로구 구로동  573번지  ,6094-9595,,1,영업중,,,
23000-2002-000008,20020117,CGV구로10제2관,서울특별시 구로구 구로동  573번지  ,6094-9595,,1,영업중,,,
23000-2002-000009,20020117,CGV구로10제3관,서울특별시 구로구 구로동  573번지  ,6094-9595,,1,영업중,,,
23000-2002-000010,20020117,CGV구로10제4관,서울특별시 구로구 구로동  573번지  ,6094-9595,,1,영업중,,,
23000-2002-000011,20020117,CGV구로10제5관,서울특별시 구로구 구로동  573번지  ,6094-9595,,1,영업중,,,
23000-2007-000001,20071211,프라임아트홀,서울특별시 구로구 구로동  3번지 25호  프라임센터11층,3424-0700,400,1,영업중,,,
23000-2007-000002,20071213,구로아트밸리 예술극장,서울특별시 구로구 구로동  101번지  ,2029-1731,611,1,영업중,,,
23000-2010-000001,20100316,상상나눔시어터,서울특별시 구로구 구로동  501번지  나인스에비뉴지하1층,741-2002,278,3,폐업,20130327,,
23000-2011-000001,20110816,디큐브아트센터(디큐브씨어터),서울특별시 구로구 신도림동  360번지 51호  ,2211-3305,1242,1,영업중,,,
23000-2011-000002,20110816,디큐브아트센터_스페이스신도림,서울특별시 구로구 신도림동  360번지 51호  ,2211-3305,500,3,폐업,20131128,,
23000-2011-000003,20110820,통통이소극장,서울특별시 구로구 신도림동  360번지 51호  ,2211-3305,93,3,폐업,20160119,,
23000-2013-000001,20130401,예술나무Theater,서울특별시 구로구 구로동  501번지  ,661-5054,278,1,영업중,,,
23000-2017-000001,20170709,꿈나무극장,서울특별시 구로구 구로동  741번지 27호  ,02-830-2562,153,1,영업중,,,
23000-2017-000002,20171010,신도림오페라하우스,서울특별시 구로구 구로동  3번지 33호  신도림테크노근린공원 내,,533,1,영업중,,,
23000-2019-000001,20190312,오류아트홀,서울특별시 구로구 오류동  64번지 28호  ,02-2614-7963,365,1,영업중,,,
23000-2019-000002,20191128,칸테움극장,서울특별시 구로구 구로동  1127번지 22호  티타운빌딩,02-855-9285,60,1,영업중,,,
23000-2019-000003,20191129,칸테움극장,서울특별시 구로구 구로동  1127번지 22호  티타운빌딩,02-855-9285,60,1,영업중,,,
23000-1991-000001,19910828,우성시네마,서울특별시 금천구 독산동  950번지 3호  ,,,1,영업중,,,
23000-2001-000001,20010425,구민문화체육센터극장,서울특별시 금천구 독산동  371번지 2호  ,861-1313,305,1,영업중,,,
23000-2009-000001,20090113,금나래아트홀,서울특별시 금천구 시흥동  1020번지  ,2627-2981,552,1,영업중,,,
23000-2009-000002,20090204,금천문화회관 공연장,서울특별시 금천구 시흥동  937번지 2호  ,896-8552,129,1,영업중,,,
23000-2012-000002,20120621,레미어린이극장,서울특별시 금천구 독산동  295번지 10호  빅마켓 3층 레미어린이극장,,194,1,영업중,,,
23000-2015-000001,20151112,문화정원 아트홀,서울특별시 금천구 독산동  296번지 9호  ,02-839-1155,194,1,영업중,,,
23000-1961-000001,19610801,영보극장,서울특별시 영등포구 영등포동5가  6번지 0호  ,2634-3811,,3,폐업,20001216,,
23000-1963-000001,19630708,연흥극장1관,서울특별시 영등포구 영등포동3가  2번지 0호  ,678-1014,,,,,,
23000-1969-000001,19690726,경원극장,서울특별시 영등포구 영등포동2가  175번지 0호  ,2634-3212,,,,,,
23000-1981-000001,19810122,명화극장,서울특별시 영등포구 영등포동2가  94번지 139호  ,826-7631,,3,폐업,20020308,,
23000-1983-000001,19831216,(주)63시티,서울특별시 영등포구 여의도동  60번지 0호  ,789-5679,,,,,,
23000-1983-000002,19831216,영등포극장,서울특별시 영등포구 영등포동3가  5번지 70호  ,6785-925,,,,,,
